name,ring,quadrant,isNew,description
git flow,Adopt,Techniques,TRUE,https://www.atlassian.com/git/tutorials/comparing-workflows/gitflow-workflow
SLSA,Assess,Techniques,TRUE,
Chaos Engineering,Assess,Techniques,TRUE,"<p><strong>Chaos Engineering</strong></p>
 <p>The name says it all. The idea behind this technique is to intentionally inject failure into systems to measure its resilience. It's like working in a laboratory, you formulate hypotheses and then compare the results to a control group. In the ever-growing world of technology systems are getting bigger and more complex and no person will have the total end-to-end knowledge of the entire system. The “fog of war"" makes it very hard to understand the impact of changes in the overall behavior of the stack. Therefore, the main objective is to anticipate the issues that can arise from the unknown and validate/adjust behaviors, so the failures do not manifest themselves to users.</p>
 <p><a href=""https://principlesofchaos.org/"">More details</a></p>"
monorepo,Assess,Techniques,TRUE,
git submodules,Assess,Techniques,TRUE,
Service mesh,Trial,Techniques,TRUE,
Feature flags,Trial,Techniques,TRUE,
REST,Adopt,Techniques,TRUE,
SAGA,Assess,Techniques,TRUE,
GraphQL,Assess,languages-and-frameworks,TRUE,
Server-driven UI,Assess,Techniques,TRUE,
Solution Blueprint,Assess,Techniques,TRUE,
Split.io,Trial,Tools,TRUE,
terraform,Adopt,Tools,TRUE,
tfsec,Assess,Tools,TRUE,
Akhq.io,Assess,Tools,TRUE,
kube-score,Assess,Tools,TRUE,
Gremlin,Assess,Tools,TRUE,
Chaos Mesh,Assess,Tools,TRUE,
Litmus,Assess,Tools,TRUE,
Chaos Monkey,Assess,Tools,TRUE,
Chaos Blade,Assess,Tools,TRUE,
Jib,Assess,Tools,TRUE,
Docker,Adopt,Tools,TRUE,
Docker Desktop,Adopt,Tools,TRUE,
Rancher,Trial,Tools,TRUE,
podman,Hold,Tools,TRUE,
Postman,Adopt,Tools,TRUE,
newman,Adopt,Tools,TRUE,
IntelliJ,Adopt,Tools,TRUE,
Eclipse,Adopt,Tools,TRUE,
Splunk,Trial,Tools,TRUE,
Datadog,Assess,Tools,TRUE,
SonarQube,Adopt,Tools,TRUE,
NewRelic,Assess,Tools,TRUE,
C4 PlantUML,Trial,Tools,TRUE,
Snyk,Assess,Tools,TRUE,
Dependabot,Assess,Tools,TRUE,
Horusec,Assess,Tools,TRUE,
Mend/WhiteSource,Adopt,Tools,TRUE,
stormforge.io,Trial,Tools,TRUE,
Helm,Adopt,Tools,TRUE,
SOAP,Hold,Techniques,TRUE,
Tensoflow,Assess,Platforms,TRUE,
Kubernetes,Adopt,Platforms,TRUE,
OpenShift,Adopt,Platforms,TRUE,
Cloudera Data Platform,Trial,Platforms,TRUE,
Kafka,Adopt,Platforms,TRUE,
Amazon MSK,Trial,Platforms,TRUE,
RabittMQ,Adopt,Platforms,TRUE,
Amazon ActiveMQ,Trial,Platforms,TRUE,
Jenkins,Adopt,Platforms,TRUE,
Gitlab CI/CD,Adopt,Platforms,TRUE,
Bamboo,Assess,Platforms,TRUE,
Azure DevOps,Assess,Platforms,TRUE,
Nexus,Adopt,Tools,TRUE,
Java,Adopt,languages-and-frameworks,TRUE,
Kotlin,Trial,languages-and-frameworks,TRUE,
Scala,Assess,languages-and-frameworks,TRUE,
Groovy,Trial,languages-and-frameworks,TRUE,
Clojure,Assess,languages-and-frameworks,TRUE,
NodeJS,Trial,languages-and-frameworks,TRUE,
NestJS,Trial,languages-and-frameworks,TRUE,
Python,Adopt,languages-and-frameworks,TRUE,
Django,Trial,languages-and-frameworks,TRUE,
Pytorch,Assess,languages-and-frameworks,TRUE,
Flask,Trial,languages-and-frameworks,TRUE,
Meteor,Trial,languages-and-frameworks,TRUE,
PHP,Assess,languages-and-frameworks,TRUE,
Go,Trial,languages-and-frameworks,TRUE,
Dart,Assess,languages-and-frameworks,TRUE,
Phoenix,Assess,languages-and-frameworks,TRUE,
CakePHP,Hold,languages-and-frameworks,TRUE,
Neuroph,Assess,languages-and-frameworks,TRUE,
Spring,Adopt,languages-and-frameworks,TRUE,
Spring WebFlux,Assess,languages-and-frameworks,TRUE,
Micronaut,Assess,languages-and-frameworks,TRUE,
Istio,Assess,languages-and-frameworks,TRUE,
Testcontainers,Assess,languages-and-frameworks,TRUE,
Axon Saga,Hold,languages-and-frameworks,TRUE,
OSGI,Hold,languages-and-frameworks,TRUE,
Apache Spark,Assess,languages-and-frameworks,TRUE,
Quarkus,Adopt,languages-and-frameworks,TRUE,
MicroProfile,Trial,languages-and-frameworks,TRUE,
Resilience4J,Assess,languages-and-frameworks,TRUE,
Springboot,Adopt,languages-and-frameworks,TRUE,
Implementation Plan,Trial,Techniques,TRUE,
AWS SQS,Trial,Platforms,TRUE,
AWS SNS,Trial,Platforms,TRUE,
Javascript,Adopt,languages-and-frameworks,TRUE,
Documentation in Repo,Adopt,Techniques,TRUE,
Pull / Merge Request,Adopt,Techniques,TRUE,
Peer Review,Adopt,Techniques,TRUE,
Microservices,Adopt,Techniques,TRUE,
TDD,Trial,Techniques,TRUE,
DDD,Adopt,Techniques,TRUE,
