name,ring,quadrant,isNew,description
Split.io,Trial,Tools,TRUE,<a href='https://www.google.com' target='_blank'>Fitness functions introduced</a>
terraform,Adopt,Tools,TRUE,
tfsec,Assess,Tools,TRUE,
Akhq.io,Assess,Tools,TRUE,
kube-score,Assess,Tools,TRUE,
Gremlin,Assess,Tools,TRUE,
Chaos Mesh,Assess,Tools,TRUE,
Litmus,Assess,Tools,TRUE,
Chaos Monkey,Assess,Tools,TRUE,
Chaos Blade,Assess,Tools,TRUE,
Jib,Assess,Tools,TRUE,
Docker,Adopt,Tools,TRUE,
Docker Desktop,Adopt,Tools,TRUE,
Rancher,Trial,Tools,TRUE,
podman,Hold,Tools,TRUE,
Postman,Adopt,Tools,TRUE,
newman,Adopt,Tools,TRUE,
IntelliJ,Adopt,Tools,TRUE,
Eclipse,Adopt,Tools,TRUE,
Splunk,Trial,Tools,TRUE,
Datadog,Assess,Tools,TRUE,
SonarQube,Adopt,Tools,TRUE,
NewRelic,Assess,Tools,TRUE,
C4 PlantUML,Trial,Tools,TRUE,
Snyk,Assess,Tools,TRUE,
Dependabot,Assess,Tools,TRUE,
Horusec,Assess,Tools,TRUE,
Mend/WhiteSource,Adopt,Tools,TRUE,
stormforge.io,Trial,Tools,TRUE,
Helm,Adopt,Tools,TRUE,
Nexus,Adopt,Tools,TRUE,
SOAP,Hold,Techniques,TRUE,
Tensoflow,Assess,Platforms,TRUE,
Kubernetes,Adopt,Platforms,TRUE,
OpenShift,Adopt,Platforms,TRUE,
Cloudera Data Platform,Trial,Platforms,TRUE,
Kafka,Adopt,Platforms,TRUE,
Amazon MSK,Trial,Platforms,TRUE,
RabittMQ,Adopt,Platforms,TRUE,
Amazon ActiveMQ,Trial,Platforms,TRUE,
Jenkins,Adopt,Platforms,TRUE,
Gitlab CI/CD,Adopt,Platforms,TRUE,
Bamboo,Assess,Platforms,TRUE,
Azure DevOps,Assess,Platforms,TRUE,
Java,Adopt,languages-and-frameworks,TRUE,
Kotlin,Trial,languages-and-frameworks,TRUE,
Scala,Assess,languages-and-frameworks,TRUE,
Groovy,Trial,languages-and-frameworks,TRUE,
Clojure,Assess,languages-and-frameworks,TRUE,
NodeJS,Trial,languages-and-frameworks,TRUE,
NestJS,Trial,languages-and-frameworks,TRUE,
Python,Adopt,languages-and-frameworks,TRUE,
Django,Trial,languages-and-frameworks,TRUE,
Pytorch,Assess,languages-and-frameworks,TRUE,
Flask,Trial,languages-and-frameworks,TRUE,
Meteor,Trial,languages-and-frameworks,TRUE,
PHP,Assess,languages-and-frameworks,TRUE,
Go,Trial,languages-and-frameworks,TRUE,
Dart,Assess,languages-and-frameworks,TRUE,
Phoenix,Assess,languages-and-frameworks,TRUE,
CakePHP,Hold,languages-and-frameworks,TRUE,
Neuroph,Assess,languages-and-frameworks,TRUE,
Spring,Adopt,languages-and-frameworks,TRUE,
Spring WebFlux,Assess,languages-and-frameworks,TRUE,
Micronaut,Assess,languages-and-frameworks,TRUE,
Istio,Assess,languages-and-frameworks,TRUE,
Testcontainers,Assess,languages-and-frameworks,TRUE,
Axon Saga,Hold,languages-and-frameworks,TRUE,
OSGI,Hold,languages-and-frameworks,TRUE,
Apache Spark,Assess,languages-and-frameworks,TRUE,
Quarkus,Adopt,languages-and-frameworks,TRUE,
MicroProfile,Trial,languages-and-frameworks,TRUE,
Resilience4J,Assess,languages-and-frameworks,TRUE,
Springboot,Adopt,languages-and-frameworks,TRUE,
Implementation Plan,Trial,Techniques,TRUE,
AWS SQS,Trial,Platforms,TRUE,
AWS SNS,Trial,Platforms,TRUE,
Javascript,Adopt,languages-and-frameworks,TRUE,
Documentation in Repo,Adopt,Techniques,TRUE,
Pull / Merge Request,Adopt,Techniques,TRUE,
Peer Review,Adopt,Techniques,TRUE,
Microservices,Adopt,Techniques,TRUE,
TDD,Trial,Techniques,TRUE,
DDD,Adopt,Techniques,TRUE,
