name;ring;quadrant;isNew;description
Split.io;Trial;Tools;VERDADEIRO;
terraform;Adopt;Tools;VERDADEIRO;
tfsec;Assess;Tools;VERDADEIRO;
Akhq.io;Assess;Tools;VERDADEIRO;
kube-score;Assess;Tools;VERDADEIRO;
Gremlin;Assess;Tools;VERDADEIRO;
Chaos Mesh;Assess;Tools;VERDADEIRO;
Litmus;Assess;Tools;VERDADEIRO;
Chaos Monkey;Assess;Tools;VERDADEIRO;
Chaos Blade;Assess;Tools;VERDADEIRO;
Jib;Assess;Tools;VERDADEIRO;
Docker;Adopt;Tools;VERDADEIRO;
Docker Desktop;Adopt;Tools;VERDADEIRO;
Rancher;Trial;Tools;VERDADEIRO;
podman;Hold;Tools;VERDADEIRO;
Postman;Adopt;Tools;VERDADEIRO;
newman;Adopt;Tools;VERDADEIRO;
IntelliJ;Adopt;Tools;VERDADEIRO;
Eclipse;Adopt;Tools;VERDADEIRO;
Splunk;Trial;Tools;VERDADEIRO;
Datadog;Assess;Tools;VERDADEIRO;
SonarQube;Adopt;Tools;VERDADEIRO;
NewRelic;Assess;Tools;VERDADEIRO;
C4 PlantUML;Trial;Tools;VERDADEIRO;
Snyk;Assess;Tools;VERDADEIRO;
Dependabot;Assess;Tools;VERDADEIRO;
Horusec;Assess;Tools;VERDADEIRO;
Mend/WhiteSource;Adopt;Tools;VERDADEIRO;
stormforge.io;Trial;Tools;VERDADEIRO;
Nexus;Adopt;Tools;VERDADEIRO;
Helm;Adopt;Tools;VERDADEIRO;
SOAP;Hold;Techniques;VERDADEIRO;
Tensoflow;Assess;Platforms;VERDADEIRO;
Kubernetes;Adopt;Platforms;VERDADEIRO;
OpenShift;Adopt;Platforms;VERDADEIRO;
Cloudera Data Platform;Trial;Platforms;VERDADEIRO;
Kafka;Adopt;Platforms;VERDADEIRO;
Amazon MSK;Trial;Platforms;VERDADEIRO;
RabittMQ;Adopt;Platforms;VERDADEIRO;
Amazon ActiveMQ;Trial;Platforms;VERDADEIRO;
Jenkins;Adopt;Platforms;VERDADEIRO;
Gitlab CI/CD;Adopt;Platforms;VERDADEIRO;
Bamboo;Assess;Platforms;VERDADEIRO;
Azure DevOps;Assess;Platforms;VERDADEIRO;
Java;Adopt;languages-and-frameworks;VERDADEIRO;
Kotlin;Trial;languages-and-frameworks;VERDADEIRO;
Scala;Assess;languages-and-frameworks;VERDADEIRO;
Groovy;Trial;languages-and-frameworks;VERDADEIRO;
Clojure;Assess;languages-and-frameworks;VERDADEIRO;
NodeJS;Trial;languages-and-frameworks;VERDADEIRO;
NestJS;Trial;languages-and-frameworks;VERDADEIRO;
Python;Adopt;languages-and-frameworks;VERDADEIRO;
Django;Trial;languages-and-frameworks;VERDADEIRO;
Pytorch;Assess;languages-and-frameworks;VERDADEIRO;
Flask;Trial;languages-and-frameworks;VERDADEIRO;
Meteor;Trial;languages-and-frameworks;VERDADEIRO;
PHP;Assess;languages-and-frameworks;VERDADEIRO;
Go;Trial;languages-and-frameworks;VERDADEIRO;
Dart;Assess;languages-and-frameworks;VERDADEIRO;
Phoenix;Assess;languages-and-frameworks;VERDADEIRO;
CakePHP;Hold;languages-and-frameworks;VERDADEIRO;
Neuroph;Assess;languages-and-frameworks;VERDADEIRO;
Spring;Adopt;languages-and-frameworks;VERDADEIRO;
Spring WebFlux;Assess;languages-and-frameworks;VERDADEIRO;
Micronaut;Assess;languages-and-frameworks;VERDADEIRO;
Istio;Assess;languages-and-frameworks;VERDADEIRO;
Testcontainers;Assess;languages-and-frameworks;VERDADEIRO;
Axon Saga;Hold;languages-and-frameworks;VERDADEIRO;
OSGI;Hold;languages-and-frameworks;VERDADEIRO;
Apache Spark;Assess;languages-and-frameworks;VERDADEIRO;
Quarkus;Adopt;languages-and-frameworks;VERDADEIRO;
MicroProfile;Trial;languages-and-frameworks;VERDADEIRO;
Resilience4J;Assess;languages-and-frameworks;VERDADEIRO;
Springboot;Adopt;languages-and-frameworks;VERDADEIRO;
Implementation Plan;Trial;Techniques;VERDADEIRO;
AWS SQS;Trial;Platforms;VERDADEIRO;
AWS SNS;Trial;Platforms;VERDADEIRO;
Javascript;Adopt;languages-and-frameworks;VERDADEIRO;
Documentation in Repo;Adopt;Techniques;VERDADEIRO;
Pull / Merge Request;Adopt;Techniques;VERDADEIRO;
Peer Review;Adopt;Techniques;VERDADEIRO;
Microservices;Adopt;Techniques;VERDADEIRO;
TDD;Trial;Techniques;VERDADEIRO;
DDD;Adopt;Techniques;VERDADEIRO;
